拟 声 词 大 全
    【定义】拟声词又称为象声词、摹声词、状声词。它是摹拟自然界声音的一种词汇。在汉语里，它只是汉字当成“音标”符号，用来表音，而和字义无关。在文章中用到象声词时，一般都要使用双引号。如摹仿流水声的“潺潺”，摹仿布谷鸟叫声的“布谷”。准确地使用象声词，将会使我们说话、习文的生动性、形象性大大增强。
    【作用】运用拟声词可以使描写生动逼真，使人如闻其声，如入其境；运用拟声词还可以形象地描摹人物的心情或情绪。
    【运用】1、因人而异，拟声词的选用要充分体现人物的个性特征，不同年龄、不同性别、不同身份不同性格的人往往采用不同的拟声词。2、因情而异，拟声词对人物感情的描绘有其独特作用，例如人们的笑声就可以分好多种，有微笑、欢笑、大笑、讥笑、讪笑、冷笑、苦笑等等；哭声也有好多种，有抽泣、大哭、哭嚎等。运用不同的拟声词便能准确地把这些带有不同感情的笑或哭等声音描绘出来。3、因境而异，客观环境（包括时、地）的不同或变化也是选用拟声词是要注意的因素，否则就不可能真实地描绘出独特的环境。4、因物而异，不同的东西发出的声音也不相同。拖拉机的声音是“突突突突”的，独轮车是吱吱呀呀，猫叫声是“喵喵”的，狗叫声是“汪汪”的。
词语	拟声类别	词类	释义
嘣	【爆炸声】	象声词	形容爆裂的声音。
轰	【爆炸声】	象声词	如：突然轰的一声。
轰轰轰	【爆炸声】	AAA型	形容宏大的连续声响
轰隆	【爆炸声】	象声词	形容爆炸声。
劈里啪啦	【爆炸声】	象声词	又噼里啪啦，形容爆裂`的连续声音，如：鞭炮劈里啪啦地响。
劈啪	【爆炸声】	象声词	又噼啪，形容拍打或爆裂的声音，如：劈啪的枪声。
噼啪	【爆炸声】	　	鞭炮爆炸声
蝈蝈	【虫声】	　	蝈蝈叫声
唧[jī]	【虫声】	象声词	如：唧唧（虫叫声）。
唧唧	【虫声】	AA型	如：小虫唧唧地叫。
瞿瞿（qū）	【虫声】	　	蟋蟀的叫声。
嗡	【虫声】	象声词	用来写昆虫飞动的声音。
嗡嗡	【虫声】	AA型	用来写昆虫飞动的声音。如：蜜蜂嗡嗡地飞过去。
嗡嗡嗡	【虫声】	AAA型	　
嗡嗡嗡嗡	【虫声】	AABB型	　
嗒嗒	【畜声】	　	马蹄声
嗯啊嗯啊	【畜声】	　	驴叫声
咴儿咴儿	【畜声】	象声词	形容马叫的声音。
咪咪	【畜声】	象声词	形容猫叫的声音。
